topic_key,topic_name,category,description,keywords_count,keywords,keywords_list
asuu_strikes,ASUU Strikes,education,"Academic Staff Union of Universities strikes and negotiations in Nigeria. Includes ASUU industrial actions, lecturer strikes, university staff disputes, academic union negotiations, and university closure due to strikes. Covers strike negotiations, demands, resolutions, and impact on higher education in Nigeria.",11,"asuu, strike, lecturers, academic staff, university strike, asuu strike, lecturer strike, academic union, university lecturers, asuu industrial action, academic staff union","[""asuu"", ""strike"", ""lecturers"", ""academic staff"", ""university strike"", ""asuu strike"", ""lecturer strike"", ""academic union"", ""university lecturers"", ""asuu industrial action"", ""academic staff union""]"
agriculture_food_security,Agriculture & Food Security,agriculture,"Agricultural policies, food security, farming, and agricultural development in Nigeria. Includes crop production, livestock management, food supply, agricultural funding, farming initiatives, and food security programs. Covers agricultural productivity, food availability, and agricultural sector challenges.",12,"agriculture, agricultural, food security, farming, crop, livestock, food supply, agricultural policy, farming, agricultural development, food production, agricultural sector","[""agriculture"", ""agricultural"", ""food security"", ""farming"", ""crop"", ""livestock"", ""food supply"", ""agricultural policy"", ""farming"", ""agricultural development"", ""food production"", ""agricultural sector""]"
budget_allocation,Budget Allocation,economy,"National budget allocation, distribution, and fiscal planning in Nigeria. Includes budget announcements, budget breakdown, sectoral allocations, budget implementation, and government spending. Covers annual budget presentations, budget debates, fiscal policy, and allocation of resources across ministries and sectors.",11,"budget, allocation, fiscal, government spending, budget announcement, budget breakdown, sectoral allocation, budget implementation, national budget, fiscal planning, budget allocation","[""budget"", ""allocation"", ""fiscal"", ""government spending"", ""budget announcement"", ""budget breakdown"", ""sectoral allocation"", ""budget implementation"", ""national budget"", ""fiscal planning"", ""budget allocation""]"
corruption_cases,Corruption Cases,governance,"Corruption scandals, fraud cases, and anti-corruption efforts in Nigeria. Includes embezzlement, bribery, financial fraud, corruption investigations, EFCC cases, and accountability measures. Covers corruption allegations, investigations, prosecutions, and anti-corruption initiatives.",12,"corruption, fraud, scandal, embezzlement, bribery, efcc, anti-corruption, corruption case, financial fraud, accountability, corruption investigation, economic and financial crimes","[""corruption"", ""fraud"", ""scandal"", ""embezzlement"", ""bribery"", ""efcc"", ""anti-corruption"", ""corruption case"", ""financial fraud"", ""accountability"", ""corruption investigation"", ""economic and financial crimes""]"
education_funding,Education Funding,education,"Education budget, funding, and financial allocations for educational institutions in Nigeria. Includes school funding, university budgets, educational grants, scholarship programs, tuition fees, and government allocations to education sector. Covers primary, secondary, and tertiary education funding, educational infrastructure investments, and financial support for students.",13,"education, funding, budget, school, university, educational, academic, scholarship, tuition, education budget, school funding, university funding, educational grant","[""education"", ""funding"", ""budget"", ""school"", ""university"", ""educational"", ""academic"", ""scholarship"", ""tuition"", ""education budget"", ""school funding"", ""university funding"", ""educational grant""]"
foreign_affairs,Foreign Affairs,diplomacy,"Diplomatic relations, international cooperation, and foreign policy matters involving Nigeria. Includes diplomatic visits, international agreements, foreign relations, consular services, and Nigeria's role in international organizations. Covers bilateral and multilateral relations, diplomatic engagements, and foreign policy decisions.",12,"foreign, diplomacy, diplomatic, international, foreign affairs, diplomatic relations, foreign policy, international relations, diplomatic visit, consular, bilateral, multilateral","[""foreign"", ""diplomacy"", ""diplomatic"", ""international"", ""foreign affairs"", ""diplomatic relations"", ""foreign policy"", ""international relations"", ""diplomatic visit"", ""consular"", ""bilateral"", ""multilateral""]"
fuel_pricing,Fuel Pricing,energy,"Fuel pricing policies, subsidies, and pump price changes affecting petroleum products in Nigeria. Includes discussions about petrol, diesel, gasoline pricing, fuel subsidy removal or implementation, pump price adjustments, and economic impact of fuel pricing decisions by the government and NNPC. Covers both increases and decreases in fuel prices, subsidy policies, and public reactions to pricing changes.",15,"fuel, petrol, diesel, subsidy, pump price, pricing, gasoline, pms, pms price, refinery, petroleum price, fuel cost, petrol price, diesel price, fuel subsidy","[""fuel"", ""petrol"", ""diesel"", ""subsidy"", ""pump price"", ""pricing"", ""gasoline"", ""pms"", ""pms price"", ""refinery"", ""petroleum price"", ""fuel cost"", ""petrol price"", ""diesel price"", ""fuel subsidy""]"
healthcare_crisis,Healthcare Crisis,health,"Healthcare system problems, hospital failures, medical shortages, and health crises in Nigeria. Includes hospital infrastructure issues, medical equipment shortages, healthcare funding problems, and public health emergencies. Covers healthcare service delivery challenges, medical personnel shortages, and health system failures.",12,"healthcare, hospital, medical, crisis, health, healthcare system, medical shortage, hospital failure, health crisis, public health, medical emergency, healthcare funding","[""healthcare"", ""hospital"", ""medical"", ""crisis"", ""health"", ""healthcare system"", ""medical shortage"", ""hospital failure"", ""health crisis"", ""public health"", ""medical emergency"", ""healthcare funding""]"
inflation,Inflation,economy,"Inflation rates, price increases, and economic inflation concerns in Nigeria. Includes consumer price index, inflation statistics, cost of living increases, price hikes, and economic inflation impacts. Covers inflation trends, monetary policy responses, and inflation effects on citizens.",10,"inflation, price increase, cost of living, inflation rate, price hike, economic inflation, consumer price, inflation statistics, rising prices, price rise","[""inflation"", ""price increase"", ""cost of living"", ""inflation rate"", ""price hike"", ""economic inflation"", ""consumer price"", ""inflation statistics"", ""rising prices"", ""price rise""]"
infrastructure_projects,Infrastructure Projects,infrastructure,"Infrastructure development projects, construction, and public works in Nigeria. Includes road construction, bridge building, railway projects, airport development, and public infrastructure initiatives. Covers infrastructure planning, construction progress, project completion, and infrastructure investments.",12,"infrastructure, construction, project, road, bridge, railway, airport, public works, development, infrastructure development, construction project, public infrastructure","[""infrastructure"", ""construction"", ""project"", ""road"", ""bridge"", ""railway"", ""airport"", ""public works"", ""development"", ""infrastructure development"", ""construction project"", ""public infrastructure""]"
military_operations,Military Operations,security,"Military activities, operations, and defense matters in Nigeria. Includes army operations, troop deployments, defense strategies, military exercises, armed forces activities, combat operations, and national security operations. Covers both domestic and international military engagements, defense policy, and security operations.",13,"military, army, operation, troops, defense, armed forces, soldiers, combat, deployment, nigerian army, military operation, defence, national security","[""military"", ""army"", ""operation"", ""troops"", ""defense"", ""armed forces"", ""soldiers"", ""combat"", ""deployment"", ""nigerian army"", ""military operation"", ""defence"", ""national security""]"
power_outages,Power Outages,energy,"Electricity supply problems, power outages, and energy shortages in Nigeria. Includes blackouts, load shedding, electricity generation issues, transmission problems, and power sector challenges. Covers power supply disruptions, energy crises, and electricity infrastructure failures.",12,"power, electricity, outage, blackout, load shedding, power cut, electricity shortage, power supply, energy crisis, power failure, electricity problem, power outage","[""power"", ""electricity"", ""outage"", ""blackout"", ""load shedding"", ""power cut"", ""electricity shortage"", ""power supply"", ""energy crisis"", ""power failure"", ""electricity problem"", ""power outage""]"
presidential_announcements,Presidential Announcements,executive,"Official statements, declarations, and announcements made by the President of Nigeria. Includes presidential speeches, policy announcements, executive orders, state of the nation addresses, press conferences, and public statements from the presidency. Covers major policy decisions, cabinet appointments, national addresses, and presidential communications to the public.",12,"president, announced, declared, stated, executive, presidential, commander in chief, presidency, presidential statement, presidential speech, executive order, state of the nation","[""president"", ""announced"", ""declared"", ""stated"", ""executive"", ""presidential"", ""commander in chief"", ""presidency"", ""presidential statement"", ""presidential speech"", ""executive order"", ""state of the nation""]"
security_threats,Security Threats,security,"Security breaches, terrorist attacks, crime waves, and insecurity issues in Nigeria. Includes banditry, kidnapping, terrorism, insurgency, crime, security challenges, and law enforcement responses. Covers security incidents, threat assessments, security operations, and public safety concerns.",13,"security, terrorism, banditry, kidnapping, crime, insecurity, terrorist attack, security threat, law enforcement, police, terrorist, insurgency, security challenge","[""security"", ""terrorism"", ""banditry"", ""kidnapping"", ""crime"", ""insecurity"", ""terrorist attack"", ""security threat"", ""law enforcement"", ""police"", ""terrorist"", ""insurgency"", ""security challenge""]"
unemployment,Unemployment,economy,"Unemployment issues, job creation, and employment challenges in Nigeria. Includes youth unemployment, job market conditions, employment statistics, job creation initiatives, and labor market problems. Covers unemployment rates, job opportunities, and employment policy.",11,"unemployment, job, employment, jobless, unemployed, job creation, employment rate, job market, youth unemployment, employment opportunity, labor market","[""unemployment"", ""job"", ""employment"", ""jobless"", ""unemployed"", ""job creation"", ""employment rate"", ""job market"", ""youth unemployment"", ""employment opportunity"", ""labor market""]"
